Vehicle_ID,Manufacturer,Model,Year,Country_of_Manufacture,Color
1,Acura,ZDX (with GM Ultium),2015,UK,Matte White
2,Lamborghini,Revuelto (PHEV),2025,Netherlands,White
3,NIO,ET7,2020,UK,Beige
4,Audi,e-tron,2025,Argentina,Sunset Orange
5,Acura,ZDX (with GM Ultium),2023,United Arab Emirates,Ice Silver
6,XPeng,G9,2016,Australia,Ruby Red
7,Jeep,Recon (upcoming),2024,Sweden,Orange
8,Changan,Q05,2019,Mexico,Bronze
9,Citroen,C4,2023,Sweden,Metallic Silver
10,Rimac,Nevera,2015,UK,Matte Green
11,Volkswagen,ID.Buzz,2022,Denmark,Stealth Gray
12,Jaguar,I-PACE,2018,South Korea,Cosmic Purple
13,Mini,Mini Cooper SE,2018,Denmark,Tan
14,BMW,iX3,2025,Denmark,Metallic Silver
15,Faraday Future,FF 91,2015,Belgium,Rose Gold
16,Tesla,Model Y,2019,United Arab Emirates,Burgundy
17,Maserati,Grecale Folgore,2020,Norway,Rose Gold
18,Polestar,Polestar 2,2024,Hungary,Cosmic Purple
19,Tesla,Model Y,2024,China,Teal
20,Faraday Future,FF 91,2025,France,Orange
21,Skoda,Elroq (upcoming),2019,Japan,Bronze
22,Geely,Emgrand EV,2021,United Arab Emirates,Matte Blue
23,Skoda,Enyaq,2025,Netherlands,Forest Green
24,Faraday Future,FF 91,2019,Denmark,Crimson Red
25,Mini,Mini Electric,2021,Saudi Arabia,Sky Blue
26,Chevrolet,Bolt EV,2024,India,Orange
27,Skoda,Elroq (upcoming),2025,Poland,Orange
28,Lucid Motors,Lucid Gravity,2025,USA,Matte Gray
29,Geely,Geometry C,2025,Finland,Lime Green
30,Chevrolet,Bolt EUV,2022,India,Metallic Silver
31,Porsche,Cayenne Electric (upcoming),2015,South Africa,Lime Green
32,Lamborghini,Lanzador (upcoming EV),2017,South Africa,Bronze
33,Toyota,Lexus RZ,2020,Switzerland,Cosmic Purple
34,Li Auto,MEGA,2024,India,Magenta
35,Volvo,EX30,2021,Finland,Gray
36,Changan,SL03,2015,Portugal,Beige
37,Maserati,Grecale Folgore,2020,Germany,Metallic Silver
38,Seat,Avenger,2020,France,Magenta
39,Lucid Motors,Lucid Air,2024,Ireland,Sky Blue
40,MG,MG5 EV,2015,Australia,Titanium
41,Faraday Future,FF 91,2022,Portugal,Green
42,Nissan,Ariya,2020,Portugal,Ice Silver
43,Lamborghini,Revuelto (PHEV),2022,Belgium,Ice Silver
44,Lamborghini,Lanzador (upcoming EV),2020,Canada,Purple
45,Jeep,Wagoneer S,2016,Italy,Matte White
46,Tesla,Cybertruck,2019,Canada,Aurora Blue
47,Ford,E-Transit,2016,South Africa,Crimson Red
48,GMC,Hummer EV Pickup,2024,Netherlands,Green
49,Cadillac,Celestiq,2019,Austria,Sky Blue
50,Maserati,Grecale Folgore,2025,Ireland,Magenta
51,XPeng,G9,2023,Spain,Gun Metal
52,Citroen,Ami,2019,Norway,Bronze
53,Li Auto,L9,2020,Thailand,Lime Green
54,Jaguar,I-PACE,2023,Finland,Turquoise
55,Volkswagen,ID.5,2022,Netherlands,Forest Green
56,Jaguar,I-PACE,2022,Belgium,Aurora Blue
57,Toyota,Lexus RZ,2020,Israel,Matte Blue
58,Lamborghini,Lanzador (upcoming EV),2022,Indonesia,Navy Blue
59,VinFast,VF 7,2022,France,Candy Apple Red
60,Great Wall Motors,ORA Lightning Cat,2020,Saudi Arabia,Rose Gold
61,GMC,Hummer EV Pickup,2018,France,Yellow
62,Mazda,Mazda EV (upcoming models),2020,Norway,Pearl White
63,Ford,F-150 Lightning,2022,Saudi Arabia,Copper
64,Honda,Honda Prologue,2019,Singapore,Teal
65,Tesla,Cybertruck,2025,Austria,Navy Blue
66,Kia,Soul EV,2019,Hungary,Copper
67,Toyota,bZ4X,2019,Australia,Orange
68,BYD,Han EV,2021,Israel,Gold
69,GMC,Hummer EV SUV,2024,Canada,Tan
70,Polestar,Polestar 3,2021,France,Tan
71,Geely,Geometry C,2018,South Korea,Teal
72,Rivian,EDV (Electric Delivery Van),2025,Switzerland,Matte Green
73,Opel,Corsa-e,2024,Germany,Orange
74,Porsche,Panamera EV,2015,Argentina,Navy Blue
75,VinFast,VFe34 (discontinued),2019,France,Brown
76,Audi,e-tron GT,2019,Australia,Copper
77,Rivian,R1S,2022,Vietnam,Purple
78,Hyundai,Kona Electric,2021,United Arab Emirates,Matte Gray
79,Cadillac,Celestiq,2020,Brazil,Yellow
80,Opel,Grandland Electric,2024,Poland,Stealth Gray
81,Ford,Mustang Mach-E,2016,Hungary,Magenta
82,BMW,iX3,2016,Turkey,Electric Blue
83,Lotus,Evija,2019,Italy,Electric Blue
84,Volkswagen,ID.6,2023,Vietnam,Silver
85,XPeng,P5,2019,Argentina,Sunset Orange
86,Hyundai,Ioniq 7 (upcoming),2019,Turkey,Matte Black
87,Kia,Niro EV,2019,Australia,Champagne
88,Rimac,Nevera,2022,Turkey,Teal
89,Audi,e-tron,2024,Denmark,Ruby Red
90,Dacia,Jogger Hybrid,2023,Netherlands,Sapphire Blue
91,VinFast,VF 8,2016,Ireland,Lime Green
92,Seat,Avenger,2017,Italy,Pink
93,BYD,Han EV,2020,Italy,Crimson Red
94,Mini,Mini Cooper SE,2024,Netherlands,Sapphire Blue
95,Mazda,Mazda EV (upcoming models),2018,Singapore,Sky Blue
96,Mercedes-Benz,EQB,2024,South Africa,Yellow
97,Zeekr,Zeekr 001,2018,Belgium,Turquoise
98,Genesis,GV80 Electric,2017,New Zealand,Cosmic Purple
99,Lamborghini,Lanzador (upcoming EV),2016,Finland,Burgundy
100,MG,MG4 Electric,2017,UK,Lime Green
101,Nissan,Ariya,2022,Brazil,Red
102,Chevrolet,Volt (PHEV),2023,Italy,Midnight Black
103,VinFast,VF 7,2015,Japan,Gold
104,Jaguar,I-PACE,2021,Russia,Ice Silver
105,Zeekr,Zeekr X,2023,Vietnam,Gun Metal
106,Zeekr,Zeekr 009,2025,Netherlands,Sky Blue
107,Audi,e-tron GT,2025,Argentina,Turquoise
108,Toyota,bZ4X,2016,Spain,Navy Blue
109,Volkswagen,ID.2all,2016,Hungary,Rose Gold
110,Dacia,Jogger Hybrid,2020,United Arab Emirates,Turquoise
111,Subaru,Solterra,2022,Malaysia,Red
112,Opel,Corsa-e,2021,Hungary,Pearl White
113,Lucid Motors,Lucid DreamDrive,2023,Sweden,Matte Blue
114,Hyundai,Kona Electric,2025,Germany,Emerald Green
115,Faraday Future,FF 91,2019,Mexico,Electric Blue
116,Citroen,??-Spacetourer,2023,France,Charcoal
117,Canoo,Pickup,2024,Poland,Champagne
118,Fisker,Ocean,2015,Vietnam,Yellow
119,XPeng,P7,2024,United Arab Emirates,Stealth Gray
120,VinFast,VF 8,2023,Mexico,Gray
121,GMC,Hummer EV SUV,2017,Saudi Arabia,Graphite Gray
122,Jaguar,I-PACE,2024,Israel,Ruby Red
123,Canoo,MPDV,2018,Sweden,Tan
124,Volkswagen,ID.7,2018,Australia,Midnight Black
125,Great Wall Motors,ORA Good Cat,2018,Russia,Ice Silver
126,Jaguar,I-PACE,2021,UK,Cosmic Purple
127,Toyota,Lexus UX 300e,2019,Austria,Matte Black
128,Opel,Corsa-e,2015,New Zealand,Aurora Blue
129,Maserati,Grecale Folgore,2017,Norway,Champagne
130,Kia,EV6,2019,Australia,Graphite Gray
131,Porsche,Taycan,2020,Vietnam,Cream
132,Rimac,Nevera,2015,Singapore,Volcanic Yellow
133,Subaru,Solterra,2021,Argentina,Copper
134,Li Auto,MEGA,2023,UK,Burgundy
135,BMW,iX1,2023,Switzerland,Orange
136,MG,MG ES5,2022,USA,Platinum
137,BMW,i3,2022,Indonesia,Ruby Red
138,Skoda,Elroq (upcoming),2023,Italy,Matte Black
139,Renault,Kangoo E-Tech,2023,Canada,Volcanic Yellow
140,Audi,e-tron,2024,Austria,Candy Apple Red
141,Ferrari,Ferrari EV (2025+),2025,Poland,Tan
142,Mahindra,XUV400,2020,India,Magenta
143,BMW,iX1,2021,UK,Ruby Red
144,NIO,ET5,2016,Poland,Pink
145,Citroen,??-Spacetourer,2018,Czech Republic,Navy Blue
146,Changan,SL03,2022,Austria,Matte Green
147,Ford,F-150 Lightning,2020,Mexico,Sky Blue
148,Renault,Scenic E-Tech,2017,South Korea,Ruby Red
149,Acura,ZDX (with GM Ultium),2016,Finland,Lime Green
150,Tesla,Model S,2023,Vietnam,Sky Blue
151,Lucid Motors,Lucid DreamDrive,2023,Singapore,Sunset Orange
152,XPeng,P5,2021,Vietnam,Rose Gold
153,Volvo,C40 Recharge,2024,Singapore,Matte White
154,Citroen,Ami,2021,Saudi Arabia,Sky Blue
155,Peugeot,e-3008,2015,Thailand,Gun Metal
156,Fisker,Pear (upcoming),2021,Belgium,Cobalt Blue
157,NIO,ES8,2020,Italy,Yellow
158,Nissan,Leaf,2020,India,Tan
159,Mercedes-Benz,EQS SUV,2017,Indonesia,Bronze
160,GMC,Hummer EV Pickup,2022,Mexico,Cobalt Blue
161,Rimac,Nevera,2022,Singapore,Champagne
162,Ferrari,SF90 Stradale (PHEV),2024,Switzerland,Cosmic Purple
163,Mahindra,XUV400,2025,Malaysia,Red
164,Chevrolet,Volt (PHEV),2023,Netherlands,Teal
165,VinFast,VF 9,2016,Israel,Navy Blue
166,Li Auto,L7,2016,South Africa,Electric Blue
167,Subaru,Solterra,2016,Belgium,Racing Red
168,Acura,ZDX (with GM Ultium),2017,Israel,Candy Apple Red
169,Kia,Niro EV,2020,Hungary,Emerald Green
170,Porsche,Panamera EV,2024,Argentina,Midnight Black
171,Porsche,Cayenne Electric (upcoming),2025,Norway,Gray
172,Lucid Motors,Lucid Gravity,2023,Netherlands,Champagne
173,Volvo,EX30,2017,Portugal,Orange
174,Rivian,R1S,2016,Spain,Candy Apple Red
175,Jeep,Wagoneer S,2024,South Korea,Cobalt Blue
176,Ferrari,Roma PHEV,2023,Portugal,Blue
177,Citroen,Ami,2021,UK,Red
178,Rimac,Nevera,2016,Switzerland,Cream
179,Ferrari,SF90 Stradale (PHEV),2024,Australia,Titanium
180,Lucid Motors,Lucid DreamDrive,2017,Argentina,Green
181,Genesis,GV60,2016,USA,Candy Apple Red
182,Audi,e-tron GT,2021,India,Gray
183,Tesla,Cybertruck,2025,Finland,Tan
184,NIO,ES8,2021,Ireland,Gun Metal
185,Lotus,Evija,2023,Russia,Forest Green
186,Rimac,Nevera,2021,China,Aurora Blue
187,MG,MG5 EV,2025,Saudi Arabia,Matte White
188,Maserati,GranTurismo Folgore,2021,Belgium,Rose Gold
189,Subaru,Solterra,2016,South Africa,Matte Black
190,Jaguar,I-PACE,2020,China,Emerald Green
191,Mercedes-Benz,EQA,2016,USA,Silver
192,Faraday Future,FF 91,2018,Canada,Turquoise
193,Changan,Deepal S07,2019,Poland,Burgundy
194,Maserati,Grecale Folgore,2017,USA,Ice Silver
195,Rivian,EDV (Electric Delivery Van),2018,South Africa,Crimson Red
196,Volkswagen,ID.Buzz,2021,Spain,Copper
197,Volvo,XC40 Recharge,2018,Hungary,Sunset Orange
198,Honda,e:Ny1,2016,UK,Charcoal
199,Canoo,Lifestyle Vehicle,2015,Italy,Burgundy
200,Canoo,Pickup,2020,China,Platinum
201,Faraday Future,FF 91,2016,Thailand,Volcanic Yellow
202,Toyota,Lexus RZ,2017,New Zealand,Matte Gray
203,Acura,ZDX (with GM Ultium),2021,India,Purple
204,Lotus,Emeya,2024,South Korea,Platinum
205,Porsche,Macan EV,2024,Brazil,Ice Silver
206,Porsche,Cayenne Electric (upcoming),2015,Finland,Pink
207,Ford,F-150 Lightning,2016,Israel,Cream
208,Mahindra,Born Electric (upcoming range),2017,India,Midnight Black
209,Opel,Grandland Electric,2015,Sweden,Champagne
210,Mini,Mini Aceman,2020,France,Burgundy
211,NIO,ES8,2023,Japan,Rose Gold
212,Mercedes-Benz,EQS,2023,Netherlands,Ruby Red
213,Seat,Avenger,2025,Sweden,Champagne
214,Lucid Motors,Lucid Air,2015,Thailand,Burgundy
215,NIO,ES8,2017,South Korea,Matte Green
216,Li Auto,L8,2023,Singapore,Aurora Blue
217,Ferrari,Ferrari EV (2025+),2024,Switzerland,Pearl White
218,Canoo,MPDV,2017,Hungary,Matte Gray
219,VinFast,VF 9,2016,Czech Republic,Yellow
220,Cadillac,Celestiq,2015,Belgium,Pink
221,Canoo,Pickup,2019,Malaysia,Magenta
222,Geely,Geometry A,2021,China,Pearl White
223,Porsche,Macan EV,2018,Portugal,Metallic Silver
224,BYD,Dolphin,2024,Spain,Pearl White
