Vehicle_ID,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr
1,Lithium-titanate,55.8,214,CHAdeMO,9
2,Lithium-titanate,90.8,212,Vehicle-to-Home (V2H),7.3
3,Calcium-ion,64.7,235,Level 2 Charging,8.9
4,Lithium-iron phosphate,120.5,140,Ultra-Fast Charging (350 kW+),10.5
5,Lithium-titanate,51.8,336,Plug-in Hydrogen Refueling,3.6
6,Lithium-iron phosphate,138.7,390,Mobile Charging,2.9
7,Nickel-cobalt-aluminum,67.1,170,Vehicle-to-Load (V2L),1.5
8,Lead-acid,131.9,105,CCS,8.3
9,Aluminum-ion,33.8,420,Solar Charging,10.2
10,Solid-state,140.8,549,Solar Charging,3.3
11,Lead-acid,41.5,370,Vehicle-to-Grid (V2G),11.6
12,Solid-state,64,401,Ultra-Fast Charging (350 kW+),7.3
13,Lead-acid,37.2,578,Vehicle-to-Load (V2L),3.3
14,Flow batteries,32.8,306,Mobile Charging,9.7
15,Flow batteries,149.9,528,Level 1 Charging,11.6
16,Aluminum-ion,121.9,332,Solar Charging,5.4
17,Lithium-ion,26.5,344,NACS,1.2
18,Solid-state,74.5,398,Mobile Charging,11.2
19,Zinc-air,149.5,137,Inductive (Wireless) Charging,6.3
20,Calcium-ion,92.1,577,CCS,11.3
21,Lead-acid,83.5,563,Level 2 Charging,1.6
22,Lead-acid,21.3,138,CHAdeMO,6.8
23,Solid-state,66,386,Vehicle-to-Grid (V2G),11.7
24,Nickel-metal hydride,122.4,155,Plug-in Hydrogen Refueling,10.5
25,Sodium-ion,56.2,135,Battery Swapping,4.5
26,Nickel-cobalt-aluminum,64.9,502,Mobile Charging,5.5
27,Lithium-iron phosphate,67.3,135,Mobile Charging,7.7
28,Nickel-cobalt-aluminum,108.1,562,NACS,7.6
29,Lithium-iron phosphate,86.5,506,NACS,8.1
30,Zinc-air,130.5,137,Vehicle-to-Home (V2H),5.3
31,Lead-acid,52.4,534,CCS,5.7
32,Lithium-titanate,132,330,Battery Swapping,9.1
33,Aluminum-ion,90.2,170,CHAdeMO,3.2
34,Lithium-titanate,22.5,550,Plug-in Hydrogen Refueling,6
35,Nickel-manganese-cobalt,23.8,272,Plug-in Hydrogen Refueling,8.8
36,Lithium-sulfur,69.3,208,Vehicle-to-Home (V2H),4.3
37,Lithium-iron phosphate,104.5,499,Level 2 Charging,9.2
38,Nickel-metal hydride,98.8,593,CCS,9.4
39,Lithium-titanate,128,224,CCS,8.5
40,Calcium-ion,74.6,350,CCS,5.5
41,Nickel-cobalt-aluminum,127.3,403,Battery Swapping,4.2
42,Nickel-metal hydride,83.4,281,Battery Swapping,4.4
43,Flow batteries,112.5,329,Level 1 Charging,1.6
44,Lithium-titanate,79,256,Battery Swapping,3.2
45,Calcium-ion,45.2,216,Overhead Pantograph Charging,2.6
46,Nickel-manganese-cobalt,82.2,274,NACS,11.6
47,Lithium-iron phosphate,35.4,491,Vehicle-to-Grid (V2G),7.5
48,Lithium-titanate,32.9,490,Inductive (Wireless) Charging,7.7
49,Lithium-ion,50.1,461,Solar Charging,8.6
50,Nickel-metal hydride,138.1,523,CHAdeMO,1.3
51,Lead-acid,84.2,141,Level 2 Charging,10.7
52,Zinc-air,25.2,487,NACS,5.9
53,Flow batteries,33.6,182,Mobile Charging,5.2
54,Calcium-ion,148.5,436,Vehicle-to-Home (V2H),5.3
55,Aluminum-ion,110.8,162,Level 1 Charging,11.7
56,Aluminum-ion,113.2,360,Battery Swapping,5.3
57,Aluminum-ion,122.4,236,Level 1 Charging,3.8
58,Aluminum-ion,61.8,196,Ultra-Fast Charging (350 kW+),7.1
59,Lithium-ion,36.4,594,Mobile Charging,10.5
60,Zinc-air,110.1,432,DC Fast Charging (DCFC),10.3
61,Flow batteries,109,247,Ultra-Fast Charging (350 kW+),9.1
62,Nickel-cobalt-aluminum,38.9,371,Vehicle-to-Grid (V2G),7
63,Flow batteries,53,230,Level 1 Charging,10.8
64,Lithium-iron phosphate,149.9,536,Vehicle-to-Load (V2L),1.7
65,Magnesium-ion,116.8,125,Vehicle-to-Load (V2L),10.1
66,Magnesium-ion,77.3,396,Overhead Pantograph Charging,8.9
67,Aluminum-ion,127.2,346,Solar Charging,9.1
68,Lithium-ion,54.4,163,Vehicle-to-Home (V2H),4.7
69,Lithium-iron phosphate,104.2,425,Vehicle-to-Home (V2H),11
70,Nickel-manganese-cobalt,68.2,586,Vehicle-to-Grid (V2G),7.3
71,Calcium-ion,67.1,451,Overhead Pantograph Charging,6.8
72,Zinc-air,146.2,125,Mobile Charging,3.3
73,Lithium-ion,56,174,CHAdeMO,6.7
74,Nickel-metal hydride,116.4,369,CCS,9.1
75,Nickel-manganese-cobalt,103.6,115,Level 2 Charging,12
76,Zinc-air,102.3,380,Mobile Charging,4.9
77,Aluminum-ion,49.7,273,Vehicle-to-Home (V2H),5.1
78,Solid-state,116.8,290,CHAdeMO,6.9
79,Solid-state,95.1,208,CHAdeMO,8.1
80,Flow batteries,103.6,113,Battery Swapping,0.8
81,Lithium-titanate,89,292,Vehicle-to-Grid (V2G),5.7
82,Lithium-sulfur,77.6,317,Vehicle-to-Load (V2L),7.5
83,Lithium-ion,48.7,406,Level 2 Charging,0.6
84,Lithium-titanate,49.9,386,Overhead Pantograph Charging,1.3
85,Solid-state,72.7,594,Mobile Charging,2.5
86,Lithium-titanate,64.1,270,NACS,1.4
87,Lithium-iron phosphate,42.6,178,DC Fast Charging (DCFC),2.5
88,Solid-state,81,423,Solar Charging,9.7
89,Zinc-air,85.9,336,Level 2 Charging,5.7
90,Flow batteries,42.4,226,Vehicle-to-Home (V2H),11.9
91,Sodium-ion,32.3,447,Plug-in Hydrogen Refueling,3.8
92,Zinc-air,112.1,143,Solar Charging,6.9
93,Lithium-sulfur,43.4,209,Mobile Charging,11.4
94,Nickel-metal hydride,97.6,178,NACS,2.6
95,Lead-acid,51.1,594,Vehicle-to-Load (V2L),10.9
96,Nickel-metal hydride,133.5,126,Vehicle-to-Load (V2L),10.6
97,Calcium-ion,78.6,278,Level 1 Charging,5.3
98,Nickel-metal hydride,25,569,Vehicle-to-Load (V2L),8.5
99,Magnesium-ion,57.5,254,CCS,1
100,Lithium-sulfur,75.8,414,Overhead Pantograph Charging,3.3
101,Lithium-ion,102.6,291,Battery Swapping,9.1
102,Sodium-ion,125.8,189,Vehicle-to-Home (V2H),11.8
103,Sodium-ion,141.3,363,Plug-in Hydrogen Refueling,11.9
104,Aluminum-ion,72,325,Plug-in Hydrogen Refueling,4.4
105,Lithium-sulfur,61.8,140,Mobile Charging,8.1
106,Magnesium-ion,143.2,138,Plug-in Hydrogen Refueling,4.7
107,Sodium-ion,67.1,586,Level 2 Charging,7.5
108,Lithium-ion,115.6,355,Plug-in Hydrogen Refueling,11
109,Nickel-manganese-cobalt,42.4,465,Vehicle-to-Home (V2H),12
110,Lead-acid,49.2,202,CHAdeMO,3.2
